,station_name,total_departures,latitude,longitude
1315,Plaza St East & Flatbush Ave,34651,40.6731,-73.9691
326,8 Ave & W 27 St,34602,40.748,-73.9966
1558,W 15 St & 10 Ave,34587,40.7428,-74.0075
1650,W 56 St & 8 Ave,34520,40.766,-73.9831
704,E 12 St & 3 Ave,34423,40.7322,-73.9889
391,Atlantic Ave & Furman St,34391,40.6917,-74.0
767,E 2 St & 2 Ave,34380,40.725,-73.9907
1245,N 12 St & Bedford Ave,34368,40.7208,-73.9548
800,E 44 St & 2 Ave,34318,40.7512,-73.9714
1101,Lafayette Ave & Ft Greene Pl,34252,40.687,-73.9766
666,Division St & Bowery,34100,40.7142,-73.9967
1657,W 76 St & Columbus Ave,34071,40.7802,-73.9773
51,2 Ave & E 96 St,34060,40.784,-73.9472
1643,W 52 St & 6 Ave,34028,40.7613,-73.9798
917,Franklin St & Dupont St,33890,40.7356,-73.9587
1086,King St & Varick St,33751,40.7279,-74.0054
988,Grand St & Havemeyer St,33659,40.7129,-73.957
806,E 48 St & 3 Ave,33623,40.7546,-73.9719
1663,W 89 St & Columbus Ave,33608,40.7882,-73.9704
409,Bank St & Washington St,33564,40.7362,-74.0086
593,Clinton Ave & Myrtle Ave,33397,40.6933,-73.9689
487,Broadway & W 36 St,33388,40.751,-73.9877
1003,Greenwich St & Perry St,33239,40.735,-74.007
1133,Lexington Ave & E 26 St,32886,40.7415,-73.9833
1166,Madison Ave & E 82 St,32756,40.7781,-73.9607
1534,W 100 St & Manhattan Ave,32731,40.795,-73.9645
238,5 Ave & E 103 St,32691,40.7923,-73.9525
1120,Leonard St & Church St,32665,40.7176,-74.0055
818,E 54 St & 1 Ave,32638,40.7563,-73.9642
1658,W 82 St & Central Park West,32468,40.7828,-73.9714
948,Gansevoort St & Hudson St,32468,40.7394,-74.0051
1001,Greenwich Ave & Charles St,32416,40.7352,-74.0003
1110,Lenox Ave & W 111 St,32341,40.7988,-73.9523
960,Graham Ave & Conselyea St,32290,40.7151,-73.9445
823,E 58 St & 1 Ave (NW Corner),32195,40.7591,-73.9627
434,Berkeley Pl & 7 Ave,32025,40.6751,-73.9752
783,E 3 St & 1 Ave,31932,40.7247,-73.9878
584,Clark St & Henry St,31846,40.6976,-73.9934
1037,Hope St & Union Ave,31843,40.7117,-73.9514
241,5 Ave & E 63 St,31681,40.7664,-73.9715
820,E 56 St & 3 Ave,31617,40.7593,-73.9676
809,E 5 St & Avenue C,31529,40.723,-73.98
1527,Vernon Blvd & 50 Ave,31452,40.7423,-73.9541
1632,W 46 St & 11 Ave,31424,40.7634,-73.9967
839,E 7 St & Ave C,31410,40.7241,-73.979
408,Bank St & Hudson St,31400,40.7365,-74.0062
430,Bergen St & Smith St,31318,40.6867,-73.9906
459,Broadway & Battery Pl,31305,40.7046,-74.0136
812,E 51 St & 1 Ave,31211,40.7546,-73.9659
1648,W 56 St & 10 Ave,31103,40.7683,-73.9886
355,Albany St & Greenwich St,31063,40.7093,-74.0132
625,Court St & State St,30969,40.6902,-73.992
1428,Spruce St & Nassau St,30934,40.7115,-74.0055
5,1 Ave & E 44 St,30726,40.75,-73.9691
1641,W 51 St & Rockefeller Plaza,30725,40.7597,-73.9781
1604,W 33 St & 10 Ave,30708,40.7538,-73.9994
1108,Lawrence St & Willoughby St,30641,40.6924,-73.9863
1308,Pike St & E Broadway,30634,40.7141,-73.9929
908,Forsyth St & Broome St,30525,40.7189,-73.9927
401,Avenue D & E 3 St,30497,40.7208,-73.9779
377,Amsterdam Ave & W 66 St,30434,40.7747,-73.9847
1440,St Nicholas Ave & Manhattan Ave,30401,40.8097,-73.9531
1634,W 47 St & 6 Ave,30381,40.7584,-73.9826
987,Grand St & Greene St,30377,40.7217,-74.0024
1701,Water St &  Fletcher St,30262,40.7064,-74.0056
1430,St James Pl & Oliver St,30235,40.7131,-73.9985
541,Cathedral Pkwy & Broadway,30201,40.8042,-73.967
947,Fulton St & William St,30195,40.7096,-74.0066
1659,W 84 St & Broadway,30137,40.7868,-73.9771
